numero_da_ocorrencia,classificacao_da_ocorrencia,data_da_ocorrencia,municipio,uf,regiao,tipo_de_ocorrencia,categoria_da_aeronave,fase_da_operacao,tipo_de_operacao,danos_a_aeronave,modelo,nome_do_fabricante,lesoes_fatais,lesoes_graves,lesoes_leves,ilesos,lesoes_desconhecidas,ano_da_ocorrencia,categoria_descritivo,danos_aeronave
1017,Acidente,2010-07-04,,PE,Nordeste,PERDA DE CONTROLE EM VOO,TPP,Não informado,Voo Privado,Não informado,EMB-810D,NEIVA,0,0.0,0,6,0,2010,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
2041,Acidente,2011-04-30,,PR,Sul,OUTROS,PRI,Não informado,Voo de Instrução,Não informado,IPE-02B,IPE,0,1.0,0,1,0,2011,Privada Instrução (Aeroclubes e Escolas de Aviação),1 - Não informado
2023,Acidente,2011-04-21,,AM,Norte,PERDA DE CONTROLE EM VOO,TPP,Não informado,Voo Privado,Não informado,EMB-810C,EMBRAER,7,0.0,0,0,0,2011,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
1688,Acidente,2011-01-25,,MT,Centro-Oeste,PERDA DE CONTROLE NO SOLO,TPP,Corrida após pouso,Voo Privado,Substancial,EMB-712,NEIVA,0,0.0,0,3,0,2011,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
1688,Acidente,2011-01-25,,MT,Centro-Oeste,EXCURSÃO DE PISTA,TPP,Corrida após pouso,Voo Privado,Substancial,EMB-712,NEIVA,0,0.0,0,3,0,2011,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
1693,Incidente Grave,2011-01-27,,PR,Sul,OUTROS,PRI,Não informado,Voo de Instrução,Não informado,CAP-4,CIA AERONAUTICA PAULISTA,0,0.0,0,0,0,2011,Privada Instrução (Aeroclubes e Escolas de Aviação),1 - Não informado
1674,Acidente,2011-01-23,,RS,Sul,FALHA OU MAU FUNCIONAMENTO DO MOTOR,PRI,Não informado,Voo de Instrução,Não informado,R22 BETA,ROBINSON HELICOPTER,0,0.0,2,0,0,2011,Privada Instrução (Aeroclubes e Escolas de Aviação),1 - Não informado
1329,Acidente,2010-10-23,,MG,Sudeste,INDETERMINADO,PET,Não informado,Voo Privado,Não informado,EXCEL CARGO,,2,0.0,0,0,0,2010,Protótipo Experimental,1 - Não informado
1680,Incidente Grave,2011-01-24,,RJ,Sudeste,,SAE,Não informado,Operação Pública,Não informado,AS 350 B2,HELIBRAS,0,0.0,0,0,0,2011,"Serviço Aéreo Especializado (Aerofotogrametria, Publicidade, etc.)",1 - Não informado
1328,Acidente,2010-10-23,,BA,Nordeste,COMBUSTÍVEL,SAE,Não informado,Operação Especializada,Não informado,EMB-810C,EMBRAER,0,0.0,0,2,0,2010,"Serviço Aéreo Especializado (Aerofotogrametria, Publicidade, etc.)",1 - Não informado
1003,Acidente,2010-06-29,,SP,Sudeste,EXCURSÃO DE PISTA,ADE,Decolagem,Operação Pública,Não informado,300,BEECH AIRCRAFT,0,0.0,0,7,0,2010,Aeronave de Demonstração,1 - Não informado
1002,Incidente Grave,2010-06-28,,MG,Sudeste,EXCURSÃO DE PISTA,TPR,Não informado,Voo Regular,Não informado,ATR-42-300,AEROSPATIALE AND ALENIA,0,0.0,0,0,0,2010,Transporte Aéreo Regular (Linhas Aéreas Comerciais),1 - Não informado
1002,Incidente Grave,2010-06-28,,MG,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,TPR,Não informado,Voo Regular,Não informado,ATR-42-300,AEROSPATIALE AND ALENIA,0,0.0,0,0,0,2010,Transporte Aéreo Regular (Linhas Aéreas Comerciais),1 - Não informado
1003,Acidente,2010-06-29,,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,ADE,Decolagem,Operação Pública,Não informado,300,BEECH AIRCRAFT,0,0.0,0,7,0,2010,Aeronave de Demonstração,1 - Não informado
998,Incidente Grave,2010-06-27,,RS,Sul,OUTROS,PRI,Não informado,Voo de Instrução,Não informado,CAP-4,CIA AERONAUTICA PAULISTA,0,0.0,0,0,0,2010,Privada Instrução (Aeroclubes e Escolas de Aviação),1 - Não informado
2018,Incidente Grave,2011-04-20,,PA,Norte,EXCURSÃO DE PISTA,TPX,Não informado,Táxi Aéreo,Não informado,58,BEECH AIRCRAFT,0,0.0,0,0,0,2011,Particular Experimental,1 - Não informado
2015,Acidente,2011-04-19,,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,TPP,Não informado,Voo Privado,Não informado,EMB-820C NAVAJO,EMBRAER,0,0.0,0,2,0,2011,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
2015,Acidente,2011-04-19,,SP,Sudeste,EXCURSÃO DE PISTA,TPP,Não informado,Voo Privado,Não informado,EMB-820C NAVAJO,EMBRAER,0,0.0,0,2,0,2011,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
2018,Incidente Grave,2011-04-20,,PA,Norte,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,TPX,Não informado,Táxi Aéreo,Não informado,58,BEECH AIRCRAFT,0,0.0,0,0,0,2011,Particular Experimental,1 - Não informado
